Team,Cap,Rank,YearMeanCap,RelativePay
Mavericks2014,"$68,057,497 ",17,"$67,716,601 ",100.5%
Timberwolves2014,"$68,154,796 ",18,"$67,716,601 ",100.6%
Raptors2014,"$68,635,923 ",19,"$67,716,601 ",101.4%
Wizards2014,"$70,301,084 ",20,"$67,716,601 ",103.8%
Celtics2014,"$70,644,150 ",21,"$67,716,601 ",104.3%
Thunder2014,"$70,696,313 ",22,"$67,716,601 ",104.4%
Bulls2014,"$71,073,626 ",23,"$67,716,601 ",105.0%
Warriors2014,"$71,406,068 ",24,"$67,716,601 ",105.4%
Grizzlies2014,"$71,894,257 ",25,"$67,716,601 ",106.2%
Clippers2014,"$74,981,669 ",26,"$67,716,601 ",110.7%
Lakers2014,"$77,089,935 ",27,"$67,716,601 ",113.8%
Heat2014,"$80,645,920 ",28,"$67,716,601 ",119.1%
Knicks2014,"$88,277,907 ",29,"$67,716,601 ",130.4%
Nets2014,"$102,928,076 ",30,"$67,716,601 ",152.0%
Suns2013,"$53,234,902 ",1,"$67,104,799 ",79.3%
Kings2013,"$53,575,342 ",2,"$67,104,799 ",79.8%
Rockets2013,"$55,435,438 ",3,"$67,104,799 ",82.6%
Hornets2013,"$57,500,127 ",4,"$67,104,799 ",85.7%
Trailblazers2013,"$58,379,149 ",5,"$67,104,799 ",87.0%
Wizards2013,"$58,601,257 ",6,"$67,104,799 ",87.3%
Bucks2013,"$61,658,839 ",7,"$67,104,799 ",91.9%
Mavericks2013,"$61,941,526 ",8,"$67,104,799 ",92.3%
Timberwolves2013,"$62,360,135 ",9,"$67,104,799 ",92.9%
Grizzlies2013,"$63,276,388 ",10,"$67,104,799 ",94.3%
Cavaliers2013,"$63,587,875 ",11,"$67,104,799 ",94.8%
Pelicans2013,"$63,685,125 ",12,"$67,104,799 ",94.9%
Nuggets2013,"$63,970,222 ",13,"$67,104,799 ",95.3%
76ers2013,"$64,367,073 ",14,"$67,104,799 ",95.9%
Magic2013,"$66,215,396 ",15,"$67,104,799 ",98.7%
Hawks2013,"$66,492,527 ",16,"$67,104,799 ",99.1%
Pacers2013,"$66,745,868 ",17,"$67,104,799 ",99.5%
Jazz2013,"$66,913,862 ",18,"$67,104,799 ",99.7%
Raptors2013,"$68,081,026 ",19,"$67,104,799 ",101.5%
Thunder2013,"$68,257,854 ",20,"$67,104,799 ",101.7%
Pistons2013,"$68,565,736 ",21,"$67,104,799 ",102.2%
Clippers2013,"$69,518,889 ",22,"$67,104,799 ",103.6%
Spurts2013,"$69,568,331 ",23,"$67,104,799 ",103.7%
Warriors2013,"$69,712,825 ",24,"$67,104,799 ",103.9%
Celtics2013,"$71,576,087 ",25,"$67,104,799 ",106.7%
Bulls2013,"$74,258,448 ",26,"$67,104,799 ",110.7%
Knicks2013,"$78,854,599 ",27,"$67,104,799 ",117.5%
Heat2013,"$83,431,885 ",28,"$67,104,799 ",124.3%
Nets2013,"$83,529,674 ",29,"$67,104,799 ",124.5%
Lakers2013,"$99,847,565 ",30,"$67,104,799 ",148.8%
